0,6426 City West ParkwayÂ ,893ft2,1BR / 1Ba,2018-02-10T11:38:58-0600,/ 1br - 893ft2 - ,44.887180,"Large Den w/sliding door to balcony, Lots of trees",-93.415675,5,$1308,https://minneapolis.craigslist.org/hnp/apa/d/large-den-sliding-door-to/6491621334.html,post id: 6491621334
0,N/A,N/A,available mar 2,2018-03-02T12:54:47-0600,N/A,44.976200,~!~**&Spacious and quiet 1 BR in Fabulous Uptown Location!,-93.275900,22,$500,https://minneapolis.craigslist.org/dak/apa/d/spacious-and-quiet-1-br-in/6516001166.html,post id: 6516001166
0,4182 Rahn Road,750ft2,1BR / 1Ba,2018-02-21T17:01:26-0600,/ 1br - 750ft2 - ,44.805226,"On-site Management, On-site Laundry Facilities, Garage Available",-93.207736,5,$1060,https://minneapolis.craigslist.org/dak/apa/d/on-site-management-on-site/6505364203.html,post id: 6505364203
0,N/A,976ft2,2BR / 2Ba,2018-03-02T12:28:42-0600,/ 2br - 976ft2 - ,45.282500,"New Two Bedroom, Two Bathroom w/parking garage attached",-93.418600,22,$1376,https://minneapolis.craigslist.org/ank/apa/d/new-two-bedroom-two-bathroom/6515961613.html,post id: 6515961613
0,53rd Street at Grandview Lane,2000ft2,3BR / 1.5Ba,2018-03-02T12:59:29-0600,/ 3br - 2000ft2 - ,44.907761,Edina Luxury - 3 Bedrooms,-93.358398,15,$2495,https://minneapolis.craigslist.org/hnp/apa/d/edina-luxury-3-bedrooms/6516008035.html,post id: 6516008035
0,705 Town Center Parkway,1288ft2,3BR / 2Ba,2018-03-02T12:59:12-0600,/ 3br - 1288ft2 - ,45.179114,Affordable And Pet Friendly 3 Bedroom Apartment Community!,-93.111624,20,$1297,https://minneapolis.craigslist.org/ank/apa/d/affordable-and-pet-friendly-3/6516007652.html,post id: 6516007652
0,183 Sunset Avenue,1100ft2,3BR / 1Ba,2018-03-02T12:58:54-0600,3br - 1100ft2 - ,45.082057,Get on the Waiting List at Golfview Apts - 3 BRs opening soon!,-94.198026,10,N/A,https://minneapolis.craigslist.org/csw/apa/d/get-on-the-waiting-list-at/6516007194.html,post id: 6516007194
0,429 E TRAVELERS TRL,1045ft2,2BR / 2Ba,2018-02-26T11:47:44-0600,/ 2br - 1045ft2 - ,44.778160,"$500 off 1st month! Great roommate floor plan! Fitness room, dog park",-93.271091,5,$1337,https://minneapolis.craigslist.org/dak/apa/d/500-off-1st-month-great/6510897664.html,post id: 6510897664
0,Douglas Drive North at Golden Valley Road,1120ft2,2BR / 1.5Ba,2018-03-02T12:57:57-0600,/ 2br - 1120ft2 - ,44.989777,3rd Floor Vaulted Ceilings !!,-93.365464,7,$1330,https://minneapolis.craigslist.org/hnp/apa/d/3rd-floor-vaulted-ceilings/6516005865.html,post id: 6516005865
0,6426 City West ParkwayÂ ,744ft2,1BR / 1Ba,2018-02-08T09:35:25-0600,/ 1br - 744ft2 - ,44.887195,"Move in now!! Beautiful fireplace, Courtyard w/fire pit, grills",-93.415418,5,$1248,https://minneapolis.craigslist.org/hnp/apa/d/move-in-now-beautiful/6488980409.html,post id: 6488980409
