index,zipcodes,listings over fmr,listings in zip,total units,wealth,pct of all listings,pct of all listings over fmr,affordability difference,above median
0,55101,437,472,4156.0,24752.814735336196,0.027584594705160424,0.0524609843937575,-0.024876389688597077,True
1,55102,55,122,10105.0,21611.19344208272,0.007129916428028753,0.006602641056422569,0.000527275371606184,False
2,55103,0,39,5179.0,10686.089446539912,0.0022792355794518148,0.0,0.0022792355794518148,False
3,55104,13,177,18536.0,16690.179661487236,0.01034422301443516,0.00156062424969988,0.008783598764735279,False
4,55105,9,86,11495.0,28321.207028641715,0.005026006662380925,0.0010804321728691477,0.003945574489511777,True
5,55106,0,120,19597.0,12055.020766167268,0.00701303255215943,0.0,0.00701303255215943,False
6,55107,3,33,5704.0,12654.903492149431,0.001928583951843843,0.0003601440576230492,0.0015684398942207938,False
7,55108,93,329,6545.0,20805.02083333333,0.01922739758050377,0.011164465786314526,0.008062931794189244,False
8,55109,0,49,13166.0,19396.22277700038,0.0028636549587984336,0.0,0.0028636549587984336,False
9,55110,11,46,15844.0,25393.55756243545,0.002688329144994448,0.0013205282112845138,0.0013678009337099342,True
10,55111,0,1,0.0,0.0,5.8441937934661916e-05,0.0,5.8441937934661916e-05,False
11,55112,2,153,17803.0,21888.915676300578,0.008941616504003273,0.00024009603841536616,0.008701520465587906,False
12,55113,39,161,18138.0,21382.857952505514,0.009409152007480569,0.00468187274909964,0.004727279258380929,False
13,55114,560,703,1610.0,16791.777096774193,0.041084682368067324,0.06722689075630252,-0.026142208388235194,False
14,55116,40,123,11971.0,27097.084692465723,0.0071883583659634155,0.004801920768307323,0.002386437597656093,True
15,55117,0,83,17000.0,15529.667891185863,0.004850680848576939,0.0,0.004850680848576939,False
16,55119,13,155,15962.0,17674.169404095883,0.009058500379872596,0.00156062424969988,0.007497876130172716,False
17,55126,28,141,10866.0,30771.797414478922,0.00824031324878733,0.0033613445378151263,0.004878968710972204,True
18,55127,2,37,7177.0,40152.69562626624,0.0021623517035824907,0.00024009603841536616,0.0019222556651671246,True
19,55130,0,21,5908.0,8221.402105263158,0.0012272806966279002,0.0,0.0012272806966279002,False
20,55305,281,427,10009.0,35227.15763114415,0.024954707498100637,0.03373349339735894,-0.008778785899258304,True
21,55311,3,29,11985.0,38231.51921434672,0.0016948162001051955,0.0003601440576230492,0.0013346721424821462,True
22,55316,1,43,8598.0,26625.6788514011,0.0025130033311904624,0.00012004801920768308,0.0023929553119827794,True
23,55331,16,39,7203.0,55269.166000913036,0.0022792355794518148,0.0019207683073229293,0.0003584672721288855,True
24,55340,0,2,2236.0,49322.553816974876,0.00011688387586932383,0.0,0.00011688387586932383,True
25,55343,116,492,12366.0,24511.19713366481,0.028753433463853662,0.013925570228091237,0.014827863235762425,True
26,55344,425,901,7322.0,27535.29873853211,0.05265618607913038,0.05102040816326531,0.0016357779158650762,True
27,55345,39,119,8764.0,37910.15628694378,0.0069545906142247675,0.00468187274909964,0.0022727178651251274,True
28,55346,36,109,6431.0,35992.81050309967,0.006370171234878148,0.004321728691476591,0.0020484425434015574,True
29,55347,2,64,11322.0,51150.007183477996,0.0037402840278183626,0.00024009603841536616,0.0035001879894029963,True
30,55356,1,7,2186.0,64600.877235925436,0.0004090935655426334,0.00012004801920768308,0.00028904554633495035,True
31,55357,0,3,1168.0,30405.31115218731,0.00017532581380398575,0.0,0.00017532581380398575,True
32,55359,0,13,2363.0,38252.630164595226,0.0007597451931506049,0.0,0.0007597451931506049,True
33,55364,2,9,6455.0,36237.476694767654,0.0005259774414119572,0.00024009603841536616,0.00028588140299659105,True
34,55369,117,167,13320.0,27518.38236379289,0.00975980363508854,0.01404561824729892,-0.00428581461221038,True
35,55374,1,6,4726.0,26250.31017972893,0.0003506516276079715,0.00012004801920768308,0.00023060360840028844,True
36,55375,0,3,1480.0,22575.67485613103,0.00017532581380398575,0.0,0.00017532581380398575,False
37,55384,18,19,1073.0,21392.04007177033,0.0011103968207585764,0.0021608643457382954,-0.001050467524979719,False
38,55391,15,82,6545.0,87533.08421924617,0.004792238910642277,0.001800720288115246,0.0029915186225270307,True
39,55401,1137,1192,4912.0,50901.345068285285,0.069662790018117,0.13649459783913565,-0.06683180782101865,True
40,55402,239,239,373.0,128349.17391304347,0.013967623166384197,0.028691476590636256,-0.014723853424252059,True
41,55403,260,489,11573.0,28104.647514180848,0.028578107650049676,0.031212484993997598,-0.0026343773439479225,True
42,55404,82,281,13337.0,10367.39202094318,0.016422184559639997,0.009843937575030012,0.006578246984609985,False
43,55405,51,206,7822.0,28994.959120109015,0.012039039214540354,0.006122448979591836,0.0059165902349485175,True
44,55406,88,166,15589.0,21636.533040607872,0.009701361697153878,0.01056422569027611,-0.0008628639931222322,False
45,55407,6,126,15090.0,14596.913624244344,0.007363684179767401,0.0007202881152460984,0.0066433960645213026,False
46,55408,1068,1531,15677.0,19191.285714285714,0.08947460697796739,0.12821128451380553,-0.03873667753583815,False
47,55409,35,117,5149.0,23274.690916917778,0.0068377067383554434,0.004201680672268907,0.002636026066086536,False
48,55410,107,152,8998.0,38268.30113753878,0.008883174566068611,0.012845138055222088,-0.003961963489153477,True
49,55411,6,52,10002.0,8687.611127315153,0.0030389807726024197,0.0007202881152460984,0.002318692657356321,False
50,55412,2,56,9193.0,13578.39055445187,0.0032727485243410673,0.00024009603841536616,0.003032652485925701,False
51,55413,94,192,6733.0,17538.824107004795,0.011220852083455088,0.01128451380552221,-6.366172206712095e-05,False
52,55414,380,1191,10797.0,8941.210247411827,0.06960434808018234,0.04561824729891957,0.023986100781262773,False
53,55415,126,146,1297.0,23688.42434715822,0.00853252293846064,0.015126050420168067,-0.0065935274817074275,False
54,55416,841,1279,16125.0,36213.66892892824,0.07474723861843259,0.10096038415366146,-0.02621314553522887,True
55,55417,2,54,11247.0,25563.373386934672,0.0031558646484717433,0.00024009603841536616,0.002915768610056377,True
56,55418,7,101,13862.0,20098.30964983713,0.005902635731400853,0.0008403361344537816,0.005062299596947071,False
57,55419,97,160,11202.0,34113.7466106188,0.009350710069545905,0.011644657863145258,-0.002293947793599352,True
